file_name,file_size,s_created_time,s_modified_time,s_mft_modified_time,s_last_accessed_time,f_created_time,f_modified_time,f_mft_modified_time,f_last_accessed_time,status,file_full_path
rock.png,128.0KB,2020-02-04 18:33:33.522256,2020-02-04 18:33:33.522256,2020-02-04 18:33:33.522256,2020-02-04 18:33:33.522256,2020-02-04 18:33:33.522256,2019-12-25 08:35:03.840932,2019-12-25 08:37:28.226854,2020-02-04 18:33:33.534266,In use,./prob/rock.png
scissor.png,128.0KB,2020-02-04 18:33:33.544242,2020-02-04 18:33:33.544242,2020-02-04 18:33:33.544242,2020-02-04 18:33:33.544242,2020-02-04 18:33:33.544242,2019-12-25 08:37:30.498548,2019-12-25 08:37:42.967372,2020-02-04 18:33:33.556252,In use,./prob/scissor.png
tools,0.0B,2020-02-04 18:33:56.253182,2020-02-04 18:33:56.253182,2020-02-04 18:33:56.253182,2020-02-04 18:33:56.253182,2020-02-04 18:33:56.253182,2020-02-04 18:38:24.753244,2020-02-04 18:38:24.753244,2020-02-04 18:38:25.051584,In use directory,./tools
plaso-master,0.0B,2020-02-04 18:34:00.387388,2020-02-04 18:34:00.387388,2020-02-04 18:34:00.387388,2020-02-04 18:34:00.387388,2020-02-04 18:34:00.387388,2020-02-04 18:36:27.900184,2020-02-04 18:36:27.900184,2020-02-04 18:36:27.900184,In use directory,./tools/plaso-master
.github,0.0B,2020-02-04 18:34:00.406368,2020-02-04 18:34:00.406368,2020-02-04 18:34:00.406368,2020-02-04 18:34:00.406368,2020-02-04 18:34:00.406368,2020-02-04 18:34:02.099190,2020-02-04 18:34:02.099190,2020-02-04 18:36:16.435624,In use directory,./tools/plaso-master/.github
ISSUE_TEMPLATE,0.0B,2020-02-04 18:34:00.410364,2020-02-04 18:34:00.410364,2020-02-04 18:34:00.410364,2020-02-04 18:34:00.410364,2020-02-04 18:34:00.410364,2020-02-04 18:34:00.418418,2020-02-04 18:34:00.418418,2020-02-04 18:36:16.436622,In use directory,./tools/plaso-master/.github/ISSUE_TEMPLATE
release.md,0.0B,2020-02-04 18:34:00.418418,2020-02-04 18:34:00.418418,2020-02-04 18:34:00.418418,2020-02-04 18:34:00.418418,2020-02-04 18:34:00.418418,2019-09-16 16:51:11.000000,2020-02-04 18:34:00.487320,2020-02-04 18:34:00.467332,In use,./tools/plaso-master/.github/ISSUE_TEMPLATE/release.md
ISSUE_TEMPLATE.md,0.0B,2020-02-04 18:34:00.495316,2020-02-04 18:34:00.495316,2020-02-04 18:34:00.495316,2020-02-04 18:34:00.495316,2020-02-04 18:34:00.495316,2019-09-16 16:51:11.000000,2020-02-04 18:34:02.006262,2020-02-04 18:34:00.535292,In use,./tools/plaso-master/.github/ISSUE_TEMPLATE.md
PULL_REQUEST_TEMPLATE.md,0.0B,2020-02-04 18:34:02.099190,2020-02-04 18:34:02.099190,2020-02-04 18:34:02.099190,2020-02-04 18:34:02.099190,2020-02-04 18:34:02.099190,2019-09-16 16:51:11.000000,2020-02-04 18:34:03.651070,2020-02-04 18:34:02.203132,In use,./tools/plaso-master/.github/PULL_REQUEST_TEMPLATE.md
.gitignore,0.0B,2020-02-04 18:34:03.669060,2020-02-04 18:34:03.669060,2020-02-04 18:34:03.669060,2020-02-04 18:34:03.669060,2020-02-04 18:34:03.669060,2019-09-16 16:51:11.000000,2020-02-04 18:34:05.138314,2020-02-04 18:34:03.698042,In use,./tools/plaso-master/.gitignore
psutil,0.0B,2020-02-04 18:37:51.852974,2020-02-04 18:37:51.852974,2020-02-04 18:37:51.852974,2020-02-04 18:37:51.852974,2020-02-04 18:37:51.852974,2020-02-04 18:37:51.863956,2020-02-04 18:37:51.863956,2020-02-04 18:40:19.354236,In use directory,./tools/psutil
_psutil_windows.cp37-win_amd64.pyd,0.0B,2020-02-04 18:37:51.863956,2020-02-04 18:37:51.863956,2020-02-04 18:37:51.863956,2020-02-04 18:37:51.863956,2020-02-04 18:37:51.863956,2019-07-13 02:58:48.000000,2020-02-04 18:37:54.507622,2020-02-04 18:37:51.918926,In use,./tools/psutil/_psutil_windows.cp37-win_amd64.pyd
Crypto,0.0B,2020-02-04 18:37:55.042884,2020-02-04 18:37:55.042884,2020-02-04 18:37:55.042884,2020-02-04 18:37:55.042884,2020-02-04 18:37:55.042884,2020-02-04 18:37:55.075870,2020-02-04 18:37:55.075870,2020-02-04 18:40:19.341236,In use directory,./tools/Crypto
Cipher,0.0B,2020-02-04 18:37:55.075870,2020-02-04 18:37:55.075870,2020-02-04 18:37:55.075870,2020-02-04 18:37:55.075870,2020-02-04 18:37:55.075870,2020-02-04 18:37:58.273886,2020-02-04 18:37:58.273886,2020-02-04 18:40:19.341236,In use directory,./tools/Crypto/Cipher
AUTHORS,0.0B,2020-02-04 18:34:13.529558,2020-02-04 18:34:13.529558,2020-02-04 18:34:13.529558,2020-02-04 18:34:13.529558,2020-02-04 18:34:13.529558,2019-09-16 16:51:11.000000,2020-02-04 18:34:16.437416,2020-02-04 18:34:14.985282,In use,./tools/plaso-master/AUTHORS
config,0.0B,2020-02-04 18:34:16.456404,2020-02-04 18:34:16.456404,2020-02-04 18:34:16.456404,2020-02-04 18:34:16.456404,2020-02-04 18:34:16.456404,2020-02-04 18:34:43.337310,2020-02-04 18:34:43.337310,2020-02-04 18:36:16.436622,In use directory,./tools/plaso-master/config
docker,0.0B,2020-02-04 18:34:16.471396,2020-02-04 18:34:16.471396,2020-02-04 18:34:16.471396,2020-02-04 18:34:16.471396,2020-02-04 18:34:16.471396,2020-02-04 18:34:18.035194,2020-02-04 18:34:18.035194,2020-02-04 18:36:16.437622,In use directory,./tools/plaso-master/config/docker
Dockerfile,0.0B,2020-02-04 18:34:16.492382,2020-02-04 18:34:16.492382,2020-02-04 18:34:16.492382,2020-02-04 18:34:16.492382,2020-02-04 18:34:16.492382,2019-09-16 16:51:11.000000,2020-02-04 18:34:18.021202,2020-02-04 18:34:16.583332,In use,./tools/plaso-master/config/docker/Dockerfile
plaso-switch.sh,0.0B,2020-02-04 18:34:18.035194,2020-02-04 18:34:18.035194,2020-02-04 18:34:18.035194,2020-02-04 18:34:18.035194,2020-02-04 18:34:18.035194,2019-09-16 16:51:11.000000,2020-02-04 18:34:19.526154,2020-02-04 18:34:18.097176,In use,./tools/plaso-master/config/docker/plaso-switch.sh
dpkg,0.0B,2020-02-04 18:34:19.543126,2020-02-04 18:34:19.543126,2020-02-04 18:34:19.543126,2020-02-04 18:34:19.543126,2020-02-04 18:34:19.543126,2020-02-04 18:34:40.326374,2020-02-04 18:34:40.326374,2020-02-04 18:36:16.438624,In use directory,./tools/plaso-master/config/dpkg
changelog,0.0B,2020-02-04 18:34:19.555118,2020-02-04 18:34:19.555118,2020-02-04 18:34:19.555118,2020-02-04 18:34:19.555118,2020-02-04 18:34:19.555118,2019-09-16 16:51:11.000000,2020-02-04 18:34:21.037304,2020-02-04 18:34:19.597094,In use,./tools/plaso-master/config/dpkg/changelog
clean,0.0B,2020-02-04 18:34:21.056292,2020-02-04 18:34:21.056292,2020-02-04 18:34:21.056292,2020-02-04 18:34:21.056292,2020-02-04 18:34:21.056292,2019-09-16 16:51:11.000000,2020-02-04 18:34:23.976156,2020-02-04 18:34:21.124254,In use,./tools/plaso-master/config/dpkg/clean
compat,0.0B,2020-02-04 18:34:23.999186,2020-02-04 18:34:23.999186,2020-02-04 18:34:23.999186,2020-02-04 18:34:23.999186,2020-02-04 18:34:23.999186,2019-09-16 16:51:11.000000,2020-02-04 18:34:25.455558,2020-02-04 18:34:24.027130,In use,./tools/plaso-master/config/dpkg/compat
control,0.0B,2020-02-04 18:34:25.468548,2020-02-04 18:34:25.468548,2020-02-04 18:34:25.468548,2020-02-04 18:34:25.468548,2020-02-04 18:34:25.468548,2019-09-16 16:51:11.000000,2020-02-04 18:34:26.939274,2020-02-04 18:34:25.504528,In use,./tools/plaso-master/config/dpkg/control
copyright,0.0B,2020-02-04 18:34:26.952248,2020-02-04 18:34:26.952248,2020-02-04 18:34:26.952248,2020-02-04 18:34:26.952248,2020-02-04 18:34:26.952248,2019-09-16 16:51:11.000000,2020-02-04 18:34:28.447636,2020-02-04 18:34:26.998224,In use,./tools/plaso-master/config/dpkg/copyright
plaso-data.dirs,0.0B,2020-02-04 18:34:28.469624,2020-02-04 18:34:28.469624,2020-02-04 18:34:28.469624,2020-02-04 18:34:28.469624,2020-02-04 18:34:28.469624,2019-09-16 16:51:11.000000,2020-02-04 18:34:29.977324,2020-02-04 18:34:28.540584,In use,./tools/plaso-master/config/dpkg/plaso-data.dirs
plaso-data.install,0.0B,2020-02-04 18:34:29.996316,2020-02-04 18:34:29.996316,2020-02-04 18:34:29.996316,2020-02-04 18:34:29.996316,2020-02-04 18:34:29.996316,2019-09-16 16:51:11.000000,2020-02-04 18:34:32.888134,2020-02-04 18:34:31.449382,In use,./tools/plaso-master/config/dpkg/plaso-data.install
plaso-tools.install,0.0B,2020-02-04 18:34:32.900124,2020-02-04 18:34:32.900124,2020-02-04 18:34:32.900124,2020-02-04 18:34:32.900124,2020-02-04 18:34:32.900124,2019-09-16 16:51:11.000000,2020-02-04 18:34:34.384994,2020-02-04 18:34:32.934108,In use,./tools/plaso-master/config/dpkg/plaso-tools.install
python-plaso.install,0.0B,2020-02-04 18:34:35.811420,2020-02-04 18:34:35.811420,2020-02-04 18:34:35.811420,2020-02-04 18:34:35.811420,2020-02-04 18:34:35.811420,2019-09-16 16:51:11.000000,2020-02-04 18:34:37.288132,2020-02-04 18:34:35.852396,In use,./tools/plaso-master/config/dpkg/python-plaso.install
python3-plaso.install,0.0B,2020-02-04 18:34:37.303124,2020-02-04 18:34:37.303124,2020-02-04 18:34:37.303124,2020-02-04 18:34:37.303124,2020-02-04 18:34:37.303124,2019-09-16 16:51:11.000000,2020-02-04 18:34:38.769084,2020-02-04 18:34:37.334086,In use,./tools/plaso-master/config/dpkg/python3-plaso.install
rules,0.0B,2020-02-04 18:34:38.789068,2020-02-04 18:34:38.789068,2020-02-04 18:34:38.789068,2020-02-04 18:34:38.789068,2020-02-04 18:34:38.789068,2019-09-16 16:51:11.000000,2020-02-04 18:34:40.309384,2020-02-04 18:34:38.870024,In use,./tools/plaso-master/config/dpkg/rules
source,0.0B,2020-02-04 18:34:40.326374,2020-02-04 18:34:40.326374,2020-02-04 18:34:40.326374,2020-02-04 18:34:40.326374,2020-02-04 18:34:40.326374,2020-02-04 18:34:40.343364,2020-02-04 18:34:40.343364,2020-02-04 18:36:16.439626,In use directory,./tools/plaso-master/config/dpkg/source
format,0.0B,2020-02-04 18:34:40.343364,2020-02-04 18:34:40.343364,2020-02-04 18:34:40.343364,2020-02-04 18:34:40.343364,2020-02-04 18:34:40.343364,2019-09-16 16:51:11.000000,2020-02-04 18:34:41.826180,2020-02-04 18:34:40.384342,In use,./tools/plaso-master/config/dpkg/source/format
end-to-end.ini,0.0B,2020-02-04 18:34:41.841172,2020-02-04 18:34:41.841172,2020-02-04 18:34:41.841172,2020-02-04 18:34:41.841172,2020-02-04 18:34:41.841172,2019-09-16 16:51:11.000000,2020-02-04 18:34:43.323318,2020-02-04 18:34:41.891124,In use,./tools/plaso-master/config/end-to-end.ini
