file_name,file_size,statuss_created_time,s_modified_time,s_mft_modified_time,s_last_accessed_time,f_created_time,f_modified_time,f_mft_modified_time,f_last_accessed_time,file_full_path
AD_°ü¸®ÀÚ_°èÁ¤_Å»Ãë¸¦_ÅëÇÑ_±â¾÷_³»ºÎ¸Á_Àå¾Ç_»ç·Ê¿Í_´ëÀÀ¹æ¾È.pdf,278.0B,In use,2020-02-04 18:33:08.158084,2019-03-01 05:38:18.140518,2019-03-01 05:38:18.140518,2020-02-04 18:33:08.492892,2020-02-04 18:33:08.158084,2020-02-04 18:33:08.158084,2020-02-04 18:33:08.158084,2020-02-04 18:33:08.158084,./AD_°ü¸®ÀÚ_°èÁ¤_Å»Ãë¸¦_ÅëÇÑ_±â¾÷_³»ºÎ¸Á_Àå¾Ç_»ç·Ê¿Í_´ëÀÀ¹æ¾È.pdf
[FSI Intelligence Report] TA505 À§Çù ±×·ì ÇÁ·ÎÆÄÀÏ¸µ_¿ä¾àº».pdf,251.0B,In use,2020-02-04 18:33:08.567918,2020-02-01 20:29:55.957572,2020-02-01 20:29:55.957572,2020-02-04 18:33:11.971144,2020-02-04 18:33:08.567918,2020-02-04 18:33:08.567918,2020-02-04 18:33:08.567918,2020-02-04 18:33:08.567918,./[FSI Intelligence Report] TA505 À§Çù ±×·ì ÇÁ·ÎÆÄÀÏ¸µ_¿ä¾àº».pdf
[FSI Intelligence Report] TA505 À§Çù ±×·ì ÇÁ·ÎÆÄÀÏ¸µ.pdf,251.0B,In use,2020-02-04 18:33:12.148042,2020-02-01 20:29:02.734176,2020-02-01 20:29:02.734176,2020-02-04 18:33:16.736284,2020-02-04 18:33:12.148042,2020-02-04 18:33:12.148042,2020-02-04 18:33:12.148042,2020-02-04 18:33:12.148042,./[FSI Intelligence Report] TA505 À§Çù ±×·ì ÇÁ·ÎÆÄÀÏ¸µ.pdf
ÈÖÆ®´Ï½º¼¾ÅÍ »ç¿ëÀÚ °¡ÀÌµå.pdf,227.0B,In use,2020-02-04 18:33:16.782258,2020-01-10 11:18:31.414516,2020-02-04 17:57:23.433674,2020-02-04 18:33:17.061268,2020-02-04 18:33:16.782258,2020-02-04 18:33:16.782258,2020-02-04 18:33:16.782258,2020-02-04 18:33:16.782258,./ÈÖÆ®´Ï½º¼¾ÅÍ »ç¿ëÀÚ °¡ÀÌµå.pdf
python-3.8.1-amd64-webinstall.exe,1.3MB,In use,2020-02-04 18:33:17.084260,2019-12-30 19:50:42.188330,2019-12-30 19:50:42.985428,2020-02-04 18:33:17.300672,2020-02-04 18:33:17.084260,2020-02-04 18:33:17.084260,2020-02-04 18:33:17.084260,2020-02-04 18:33:17.084260,./python-3.8.1-amd64-webinstall.exe
christmas_pockets-c8b740857a5c987f39be2fe072ccb264,0,Directory,2020-02-04 18:33:33.407322,2020-02-04 18:47:55.606310,2020-02-04 18:47:55.606310,2020-02-04 18:47:55.616304,2020-02-04 18:33:33.407322,2020-02-04 18:33:33.407322,2020-02-04 18:33:33.407322,2020-02-04 18:33:33.407322,./christmas_pockets-c8b740857a5c987f39be2fe072ccb264
output,30.0KB,Deleted,2020-02-04 18:33:33.422330,2019-12-20 23:55:54.000000,2019-12-25 08:32:19.498308,2020-02-04 18:33:33.423314,2020-02-04 18:33:33.422330,2020-02-04 18:33:33.422330,2020-02-04 18:33:33.422330,2020-02-04 18:33:33.422330,./christmas_pockets-c8b740857a5c987f39be2fe072ccb264/output
prob.py,1.5KB,Deleted,2020-02-04 18:33:33.438324,2019-12-20 23:55:50.000000,2019-12-25 08:32:19.505302,2020-02-04 18:33:33.439302,2020-02-04 18:33:33.438324,2020-02-04 18:33:33.438324,2020-02-04 18:33:33.438324,2020-02-04 18:33:33.438324,./christmas_pockets-c8b740857a5c987f39be2fe072ccb264/prob.py
gazua.png,39.2KB,In use,2020-02-04 18:33:33.457310,2019-12-24 23:44:00.293666,2019-12-24 23:44:00.400604,2020-02-04 18:33:33.457310,2020-02-04 18:33:33.457310,2020-02-04 18:33:33.457310,2020-02-04 18:33:33.457310,2020-02-04 18:33:33.457310,./gazua.png
prob,0,In use directory,2020-02-04 18:33:33.484308,2020-02-04 18:33:33.544242,2020-02-04 18:33:33.616204,2020-02-04 18:33:33.544242,2020-02-04 18:33:33.484308,2020-02-04 18:33:33.484308,2020-02-04 18:33:33.484308,2020-02-04 18:33:33.484308,./prob
